Time,N_Atl,GoM,Mack_R,Nord_Sea,StLaw_R,Hudson_Str,Arctic,North_Sea,Barents,NH_tot,Ross,Weddell,SH_tot
22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
18.40,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
18.40,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
17.50,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
17.50,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00
17.00,15.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
17.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00
14.67,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00
14.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.10,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,30.00,30.00,60.00
14.10,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,30.00,30.00,60.00
13.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.87,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00
13.40,0.00,4.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00
13.40,0.00,2.40,0.00,1.00,1.60,0.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00
12.90,0.00,2.40,0.00,1.00,1.60,0.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00
12.90,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00
12.50,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00
12.50,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
12.20,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
12.20,0.00,0.00,14.00,0.00,6.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
12.00,0.00,0.00,14.00,0.00,6.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
12.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00
11.70,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00
11.70,0.00,0.00,0.00,0.00,0.15,0.29,0.15,0.38,0.13,1.10,1.12,1.12,2.24
11.30,0.00,0.00,0.00,0.00,0.15,0.29,0.15,0.38,0.13,1.10,1.12,1.12,2.24
11.30,0.00,0.00,0.00,0.00,0.55,1.03,0.55,3.96,1.32,7.41,1.12,1.12,2.24
10.80,0.00,0.00,0.00,0.00,0.55,1.03,0.55,3.96,1.32,7.41,1.12,1.12,2.24
10.80,0.00,0.00,0.00,0.00,0.55,1.03,0.55,2.03,0.68,4.84,1.12,1.12,2.24
10.00,0.00,0.00,0.00,0.00,0.55,1.03,0.55,2.03,0.68,4.84,1.12,1.12,2.24
10.00,0.00,0.00,0.00,0.00,0.55,1.03,0.55,0.60,0.20,2.93,1.12,1.12,2.24
9.80,0.00,0.00,0.00,0.00,0.55,1.03,0.55,0.60,0.20,2.93,1.12,1.12,2.24
9.80,0.00,0.00,0.00,0.00,0.55,1.03,0.55,0.00,0.00,2.13,1.12,1.12,2.24
9.00,0.00,0.00,0.00,0.00,0.55,1.03,0.55,0.00,0.00,2.13,1.12,1.12,2.24
9.00,0.00,0.00,0.00,0.00,0.42,7.47,0.42,0.00,0.00,8.31,1.12,1.12,2.24
8.00,0.00,0.00,0.00,0.00,0.42,7.47,0.42,0.00,0.00,8.31,1.12,1.12,2.24
8.00,0.00,0.00,0.00,0.00,0.02,0.33,0.02,0.00,0.00,0.37,1.12,1.12,2.24
7.60,0.00,0.00,0.00,0.00,0.02,0.33,0.02,0.00,0.00,0.37,1.12,1.12,2.24
7.60,0.00,0.00,0.00,0.00,0.17,3.13,0.17,0.00,0.00,3.47,1.12,1.12,2.24
6.85,0.00,0.00,0.00,0.00,0.17,3.13,0.17,0.00,0.00,3.47,1.12,1.12,2.24
6.85,0.00,0.00,0.00,0.00,0.01,0.21,0.01,0.00,0.00,0.23,1.12,1.12,2.24
6.00,0.00,0.00,0.00,0.00,0.01,0.21,0.01,0.00,0.00,0.23,1.12,1.12,2.24
6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,1.12,2.24
5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,1.12,2.24
5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

